YEAR,CODE_REGION,REGION,CODE_AREA,AREA,MONTHLY_INCOME,CURRENT_INCOME,MONEY_INCOME,FROM_WORK,CURRENT_TRANSFER,PROPERTY_INCOME,NONMONEY_INCOME,NONCUR_M_INCOME,UNIT,SOURCE
2566,0,ทั่วราชอาณาจักร,0,เขตการปกครอง,29030,28706,24501,20465,3794,242,4205,325,บาท,สำนักงานสถิติแห่งชาติ
2566,0,ทั่วราชอาณาจักร,1,ในเขตเทศบาล,33464,33157,28764,24297,4141,325,4393,307,บาท,สำนักงานสถิติแห่งชาติ
2566,0,ทั่วราชอาณาจักร,2,นอกเขตเทศบาล,25002,24662,20629,16983,3480,166,4033,340,บาท,สำนักงานสถิติแห่งชาติ
2566,1,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,0,เขตการปกครอง,39087,38905,33810,30027,3448,334,5095,182,บาท,สำนักงานสถิติแห่งชาติ
2566,1,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,1,ในเขตเทศบาล,39635,39449,34312,30300,3651,361,5138,185,บาท,สำนักงานสถิติแห่งชาติ
2566,1,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,2,นอกเขตเทศบาล,36359,36193,31309,28666,2441,202,4884,166,บาท,สำนักงานสถิติแห่งชาติ
2566,2,ภาคกลาง,0,เขตการปกครอง,30200,29939,26262,23036,3036,190,3677,261,บาท,สำนักงานสถิติแห่งชาติ
2566,2,ภาคกลาง,1,ในเขตเทศบาล,32515,32242,28515,24919,3388,208,3727,273,บาท,สำนักงานสถิติแห่งชาติ
2566,2,ภาคกลาง,2,นอกเขตเทศบาล,28373,28120,24484,21549,2759,176,3637,252,บาท,สำนักงานสถิติแห่งชาติ
2566,3,ภาคเหนือ,0,เขตการปกครอง,24040,23558,19585,15040,4218,327,3973,482,บาท,สำนักงานสถิติแห่งชาติ
2566,3,ภาคเหนือ,1,ในเขตเทศบาล,27650,27084,23012,17311,5193,508,4072,566,บาท,สำนักงานสถิติแห่งชาติ
2566,3,ภาคเหนือ,2,นอกเขตเทศบาล,21901,21469,17555,13695,3640,220,3914,432,บาท,สำนักงานสถิติแห่งชาติ
2566,4,ภาคตะวันออกเฉียงเหนือ,0,เขตการปกครอง,22524,22130,17908,12724,5024,161,4221,395,บาท,สำนักงานสถิติแห่งชาติ
2566,4,ภาคตะวันออกเฉียงเหนือ,1,ในเขตเทศบาล,26147,25681,21695,15694,5782,219,3986,465,บาท,สำนักงานสถิติแห่งชาติ
2566,4,ภาคตะวันออกเฉียงเหนือ,2,นอกเขตเทศบาล,20855,20493,16164,11355,4675,134,4330,362,บาท,สำนักงานสถิติแห่งชาติ
2566,5,ภาคใต้,0,เขตการปกครอง,28532,28183,24279,21189,2864,226,3905,349,บาท,สำนักงานสถิติแห่งชาติ
2566,5,ภาคใต้,1,ในเขตเทศบาล,31163,30900,26853,22836,3631,386,4047,263,บาท,สำนักงานสถิติแห่งชาติ
2566,5,ภาคใต้,2,นอกเขตเทศบาล,26991,26592,22771,20225,2415,132,3821,399,บาท,สำนักงานสถิติแห่งชาติ
