YEAR,CODE_SOCIO_ECON,SOCIO_ECONOMIC,MONTHLY_INCOME,CURRENT_INCOME,MONEY_INCOME,FROM_WORK,CURRENT_TRANSFER,PROPERTY_INCOME,NONMONEY_INCOME,NONCUR_M_INCOME,UNIT,SOURCE
2566,0,รวมสถานะทางเศรษฐสังคมของครัวเรือน,29030,28706,24501,20465,3794,242,4205,325,บาท,สำนักงานสถิติแห่งชาติ
2566,1,ผู้ถือครองทำการเกษตร / เพาะเลี้ยง เป็นเจ้าของที่ดิน,25900,25688,21683,19521,2084,77,4006,212,บาท,สำนักงานสถิติแห่งชาติ
2566,2,ผู้ถือครองทำการเกษตร / เพาะเลี้ยง เช่าที่ดิน,27575,27345,23273,21103,2134,36,4072,230,บาท,สำนักงานสถิติแห่งชาติ
2566,3,"ผู้ถือครองทำการเกษตร / เพาะเลี้ยง ประมง,ป่าไม้,ล่าสัตว์,หาของป่า,บริการทางการเกษตร",17300,17197,13661,12428,1209,24,3537,102,บาท,สำนักงานสถิติแห่งชาติ
2566,4,ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,36819,36530,32127,30520,1402,205,4403,289,บาท,สำนักงานสถิติแห่งชาติ
2566,5,ผู้ปฏิบัติงานวิชาชีพนักวิชาการและนักบริหาร,53156,52934,47078,44523,2101,455,5855,222,บาท,สำนักงานสถิติแห่งชาติ
2566,6,คนงานเกษตร,15394,15230,12206,11258,931,18,3024,164,บาท,สำนักงานสถิติแห่งชาติ
2566,7,คนงานทั่วไป,18869,18768,15516,14346,1154,15,3252,101,บาท,สำนักงานสถิติแห่งชาติ
2566,8,"เสมียน,พนักงาน,พนักงานขายและให้บริการ",27496,27304,23573,22291,1209,73,3732,191,บาท,สำนักงานสถิติแห่งชาติ
2566,9,ผู้ปฏิบัติงานในกระบวนการผลิต,26384,26251,22997,22155,812,30,3254,132,บาท,สำนักงานสถิติแห่งชาติ
2566,10,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,19423,18705,14156,2027,11571,558,4549,718,บาท,สำนักงานสถิติแห่งชาติ
