YEAR,CODE_SOCIO_ECON,SOCIO_ECONOMIC,INCOME_PER_HH1,INCOME_PER_HH2,INCOME_PER_HH3,INCOME_PER_HH4,INCOME_PER_HH5,INCOME_PER_HH6,INCOME_PER_HH7,INCOME_PER_HH8,INCOME_PER_HH9,INCOME_PER_HH10,INCOME_PER_PP1,INCOME_PER_PP2,INCOME_PER_PP3,INCOME_PER_PP4,INCOME_PER_PP5,INCOME_PER_PP6,INCOME_PER_PP7,INCOME_PER_PP8,INCOME_PER_PP9,INCOME_PER_PP10,INCOME_PER_PP11,UNIT,SOURCE
2566,0,รวมสถานะทางเศรษฐสังคมของครัวเรือน,100,0.1,0.2,1.6,12.7,17.4,36.4,19.0,10.4,2.1,100,0.1,0.3,4.5,14.5,34.5,20.4,19.8,4.4,1.3,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,1,ผู้ถือครองทำการเกษตร / เพาะเลี้ยง เป็นเจ้าของที่ดิน,100,0.0,0.3,2.1,16.7,21.2,36.7,14.1,6.8,2.1,100,,0.9,12.0,23.2,38.9,13.8,8.7,1.3,0.9,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,2,ผู้ถือครองทำการเกษตร / เพาะเลี้ยง เช่าที่ดิน,100,0.5,0.0,1.2,14.5,20.1,36.4,16.8,9.4,1.1,100,0.4,2.0,9.2,23.9,38.2,14.0,10.2,1.7,0.3,0.3,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,3,ผู้ถือครองทำการเกษตร / เพาะเลี้ยง ประมง ป่าไม้ ล่าสัตว์ หาของป่า บริการทางการเกษตร,100,,0.3,4.9,28.7,28.9,27.7,5.9,2.9,0.8,100,,1.3,16.6,35.6,35.9,6.3,3.1,1.2,0.2,,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,4,ผู้ดำเนินธุรกิจของตนเองที่ไม่ใช่การเกษตร,100,0.0,0.1,0.4,5.9,13.4,41.0,23.2,12.2,3.9,100,0.0,0.1,2.2,9.7,38.6,24.3,19.2,3.8,1.5,0.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,5,ผู้ปฏิบัติงานวิชาชีพนักวิชาการและนักบริหาร,100,0.0,0.0,0.0,0.4,3.1,23.2,31.3,34.0,8.0,100,0.0,,0.4,1.9,14.1,18.6,41.2,17.0,6.5,0.5,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,6,คนงานเกษตร,100,,0.1,1.5,23.3,31.1,39.2,4.5,0.3,,100,,1.0,10.4,29.6,46.2,10.9,2.0,,,,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,7,คนงานทั่วไป,100,,,0.6,13.2,28.6,46.3,9.2,2.0,0.0,100,,0.1,4.5,21.6,44.6,22.5,6.7,0.1,,,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,8,"เสมียน,พนักงาน,พนักงานขายและให้บริการ",100,,0.0,0.2,3.4,15.4,47.7,25.1,8.0,0.3,100,,0.1,1.0,8.7,33.6,27.2,26.3,2.9,0.1,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,9,ผู้ปฏิบัติงานในกระบวนการผลิต,100,0.0,0.0,0.4,5.4,17.4,46.5,22.0,8.1,0.2,100,0.0,0.0,2.3,11.2,33.2,26.1,24.1,2.7,0.3,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2566,10,ผู้ไม่ได้ปฏิบัติงานเชิงเศรษฐกิจ,100,0.3,0.7,4.9,30.6,23.3,24.3,9.8,5.3,1.1,100,0.2,0.6,7.2,22.1,38.0,14.9,12.5,3.8,0.8,0.1,ร้อยละ,สำนักงานสถิติแห่งชาติ
