Year,Region,Area,value,unit,source
2566,ทั่วราชอาณาจักร,รวม,11472172,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,4746309,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,นอกเขตเทศบาล,6725863,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,1903273,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,1540991,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,362282,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,2558363,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,1075634,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,นอกเขตเทศบาล,1482729,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,รวม,1980375,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,ในเขตเทศบาล,623164,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคเหนือ,นอกเขตเทศบาล,1357211,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,รวม,3626069,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,1008401,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,2617668,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,รวม,1404092,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,ในเขตเทศบาล,498119,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคใต้,นอกเขตเทศบาล,905973,ครัวเรือน,สำนักงานสถิติแห่งชาติ
