Year,Region,Area,Source_loan,Purpose_borrow,value,unit,source
2566,ทั่วราชอาณาจักร,รวม,รวม,รวม,11472172,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้ในระบบ ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,1638465,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้ในระบบ ,ใช้ในการศึกษา,417894,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้ในระบบ ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,7728981,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้ในระบบ ,ใช้ในการทำธุรกิจ,933037,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้ในระบบ ,ใช้ในการทำการเกษตร,2786637,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้ในระบบ ,อื่นๆ,53400,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,30994,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,ใช้ในการศึกษา,19162,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,613890,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,131782,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,ใช้ในการทำการเกษตร,69740,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,หนี้นอกระบบ,อื่นๆ,12419,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,รวม,รวม,4746309,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,993654,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการศึกษา,214684,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้ในระบบ ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,3280021,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำธุรกิจ,389350,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้ในระบบ ,ใช้ในการทำการเกษตร,512890,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้ในระบบ ,อื่นๆ,14603,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ซื้อ/เช่าซื้อบ้านและ/หรือที่ดิน,10818,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการศึกษา,9054,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,ใช้จ่ายอุปโภคบริโภคอื่นๆ ในครัวเรือน,286950,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำธุรกิจ,82067,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,ใช้ในการทำการเกษตร,14442,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,หนี้นอกระบบ,อื่นๆ,5003,ครัวเรือน,สำนักงานสถิติแห่งชาติ
