Year,Region,Area,Type_debt,value,unit,source
2566,ทั่วราชอาณาจักร,รวม,รวม,11472172,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,มีหนี้ในระบบอย่างเดียว,10613594,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,มีหนี้นอกระบบอย่างเดียว,548804,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,รวม,มีหนี้ทั้งในและนอกระบบ,309774,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,รวม,4746309,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,มีหนี้ในระบบอย่างเดียว,4353000,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,มีหนี้นอกระบบอย่างเดียว,272165,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,ในเขตเทศบาล,มีหนี้ทั้งในและนอกระบบ,121144,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,นอกเขตเทศบาล,รวม,6725863,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,นอกเขตเทศบาล,มีหนี้ในระบบอย่างเดียว,6260593,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,นอกเขตเทศบาล,มีหนี้นอกระบบอย่างเดียว,276640,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ทั่วราชอาณาจักร,นอกเขตเทศบาล,มีหนี้ทั้งในและนอกระบบ,188630,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,รวม,1903273,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,มีหนี้ในระบบอย่างเดียว,1724227,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,มีหนี้นอกระบบอย่างเดียว,123849,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,รวม,มีหนี้ทั้งในและนอกระบบ,55197,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,รวม,1540991,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,มีหนี้ในระบบอย่างเดียว,1379214,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,มีหนี้นอกระบบอย่างเดียว,111683,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,ในเขตเทศบาล,มีหนี้ทั้งในและนอกระบบ,50095,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,รวม,362282,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,มีหนี้ในระบบอย่างเดียว,345013,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,มีหนี้นอกระบบอย่างเดียว,12166,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,นอกเขตเทศบาล,มีหนี้ทั้งในและนอกระบบ,5103,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,รวม,2558363,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,มีหนี้ในระบบอย่างเดียว,2328274,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,มีหนี้นอกระบบอย่างเดียว,151826,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,รวม,มีหนี้ทั้งในและนอกระบบ,78263,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,รวม,1075634,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,มีหนี้ในระบบอย่างเดียว,986244,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,มีหนี้นอกระบบอย่างเดียว,60375,ครัวเรือน,สำนักงานสถิติแห่งชาติ
2566,ภาคกลาง,ในเขตเทศบาล,มีหนี้ทั้งในและนอกระบบ,29015,ครัวเรือน,สำนักงานสถิติแห่งชาติ
